simply_label,JMJD3_0,JMJD3_1,IRF4_0,IRF4_1,HIF1a_0,HIF1a_1,ERK_0,ERK_1,IRF3_0,IRF3_1,TRAF2_0,TRAF2_1,JNK_0,JNK_1,KLF4_0,KLF4_1,SOCS1_0,SOCS1_1,PPARG_0,PPARG_1,STAT3_IL6_0,STAT3_IL6_1,STAT3_IL10_0,STAT3_IL10_1,SOCS3_0,SOCS3_1,ISGF3_0,ISGF3_1,NFKB_0,NFKB_1,AP1_0,AP1_1,IRF1_0,IRF1_1,IRF7_0,IRF7_1,STAT1_0,STAT1_1,STAT5_0,STAT5_1,STAT4_0,STAT4_1,STAT6_0,STAT6_1,Other_0,Other_1,D1_0,D1_1,FCGR_0,FCGR_1,IL6R_0,IL6R_1,TLR4_0,TLR4_1,IL1R_0,IL1R_1,IFNAR1_0,IFNAR1_1,TNFR_0,TNFR_1,IL10R_0,IL10R_1,IFNGR_0,IFNGR_1,A2aR_0,A2aR_1,CSF2Ra_0,CSF2Ra_1,IL4Ra_0,IL4Ra_1,IL12R_0,IL12R_1,IFNG_e_0,IFNG_e_1,GMCSF_e_0,GMCSF_e_1,IL1B_e_0,IL1B_e_1,IgG_e_0,IgG_e_1,LPS_e_0,LPS_e_1,Adenosine_e_0,Adenosine_e_1,EGFR_e_0,EGFR_e_1,IL4_e_0,IL4_e_1,IL6_e_0,IL6_e_1,IL10_e_0,IL10_e_1,IFNb_e_0,IFNb_e_1,TNFa_e_0,TNFa_e_1,IL12_e_0,IL12_e_1,IFNb_low_0,IFNb_low_1,IFNa_out_0,IFNa_out_1,IFNG_out_0,IFNG_out_1,IFNb_out_0,IFNb_out_1,CXCL10_out_0,CXCL10_out_1,IL12_out_0,IL12_out_1,VEGF_out_0,VEGF_out_1,IL6_out_0,IL6_out_1,IL10_out_0,IL10_out_1,TNFa_out_0,TNFa_out_1
M1M2,384,384,768,768,0,768,768,768,768,768,768,768,1152,768,768,0,768,0,768,0,0,768,2048,0,0,1536,768,768,0,768,1152,768,1152,768,768,768,1536,0,0,1536,1152,768,1536,0,768,768,768,768,0,2048,0,768,768,768,768,768,768,768,1152,768,2048,768,1536,768,768,768,0,1536,1536,0,1152,768,384,384,0,768,256,512,0,768,256,512,384,384,768,0,768,0,384,384,384,384,384,384,384,384,384,384,1152,768,768,768,1152,768,768,768,768,768,0,10496,0,4992,384,768,1408,768,960,768
M1M2*,,,,,,,,,,,,,384,0,,,,,,,,,,,,,,,,,384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2688,,,,,,,,
M1M2/M2/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1M2/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,288,,,,,,
M2,5408,5408,5888,5888,2880,8000,5888,5888,6336,4544,5888,5888,6656,5888,5888,5504,4304,9536,5888,5504,2816,6592,7488,4928,4608,7168,4544,4544,5504,10816,6656,5888,6368,5888,4544,4544,6464,0,6848,4928,6080,5696,1920,9856,5888,5888,5888,5888,3328,10240,2816,8000,5760,5120,5888,5888,4544,4544,6368,5888,7488,5888,6464,5696,5504,6272,6848,4928,1920,9856,6080,5696,3040,2848,3424,2464,2496,3392,1664,4224,2432,3456,2752,3136,3584,2304,960,4928,1888,4000,2944,2944,3616,2272,2944,2944,3040,2848,6368,4544,5888,4544,6080,5696,6336,4544,5888,5888,6848,0,2880,9920,5600,9408,4960,9728,6128,5888
M2*,1344,1344,1344,1344,960,1920,1344,1344,1792,0,1344,1344,1920,1344,1344,1536,912,2880,1344,1536,768,1536,1344,1344,1152,1536,,,1536,0,1920,1344,1344,1344,,,1344,0,1344,1344,1344,1344,0,2688,1344,1344,1344,1344,512,2560,768,1920,1600,0,1344,1344,,,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,0,2688,1344,1344,672,672,672,672,576,768,256,1088,704,640,672,672,768,576,0,1344,384,960,672,672,1344,0,672,672,672,672,1344,0,1344,0,1344,1344,1792,0,1344,1344,1344,0,960,1920,1344,2304,768,1344,1344,1344
M2/M2c/NoLabel*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,,,,
M2/M2d,,,,,,,,,,,,,,,,,,,,,,,352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0,,
M2/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2a,2112,2112,2112,2112,4160,0,2112,2112,2304,1536,2112,2112,2112,2112,2112,2112,1584,2112,2112,2112,2816,0,2112,2112,1408,2816,1536,1536,2112,0,2112,2112,2112,2112,1536,1536,2112,0,2112,2112,2112,2112,0,4224,2112,2112,2112,2112,3072,0,2816,1408,2880,960,2112,2112,1536,1536,2112,2112,2112,2112,2112,2112,2496,1728,2112,2112,0,4224,2112,2112,1056,1056,1056,1056,1344,768,1536,576,1728,384,1248,864,1408,704,0,2112,1408,704,1056,1056,1344,768,1056,1056,1056,1056,2112,1536,2112,1536,2112,2112,2304,1536,2112,2112,2112,0,4160,0,2112,0,0,2112,2112,2112
