"label","JMJD3_0","JMJD3_1","IRF4_0","IRF4_1","HIF1a_0","HIF1a_1","ERK_0","ERK_1","IRF3_0","IRF3_1","TRAF2_0","TRAF2_1","JNK_0","JNK_1","KLF4_0","KLF4_1","SOCS1_0","SOCS1_1","PPARG_0","PPARG_1","STAT3_IL6_0","STAT3_IL6_1","STAT3_IL10_0","STAT3_IL10_1","SOCS3_0","SOCS3_1","ISGF3_0","ISGF3_1","NFKB_0","NFKB_1","AP1_0","AP1_1","IRF1_0","IRF1_1","IRF7_0","IRF7_1","STAT1_0","STAT1_1","STAT5_0","STAT5_1","STAT4_0","STAT4_1","STAT6_0","STAT6_1","Other_0","Other_1","D1_0","D1_1","FCGR_0","FCGR_1","IL6R_0","IL6R_1","TLR4_0","TLR4_1","IL1R_0","IL1R_1","IFNAR1_0","IFNAR1_1","TNFR_0","TNFR_1","IL10R_0","IL10R_1","IFNGR_0","IFNGR_1","A2aR_0","A2aR_1","CSF2Ra_0","CSF2Ra_1","IL4Ra_0","IL4Ra_1","IL12R_0","IL12R_1","IFNG_e_0","IFNG_e_1","GMCSF_e_0","GMCSF_e_1","IL1B_e_0","IL1B_e_1","IgG_e_0","IgG_e_1","LPS_e_0","LPS_e_1","Adenosine_e_0","Adenosine_e_1","EGFR_e_0","EGFR_e_1","IL4_e_0","IL4_e_1","IL6_e_0","IL6_e_1","IL10_e_0","IL10_e_1","IFNb_e_0","IFNb_e_1","TNFa_e_0","TNFa_e_1","IL12_e_0","IL12_e_1","IFNb_low_0","IFNb_low_1","IFNa_out_0","IFNa_out_1","IFNG_out_0","IFNG_out_1","IFNb_out_0","IFNb_out_1","CXCL10_out_0","CXCL10_out_1","IL12_out_0","IL12_out_1","VEGF_out_0","VEGF_out_1","IL6_out_0","IL6_out_1","IL10_out_0","IL10_out_1","TNFa_out_0","TNFa_out_1"
"M1/M1M2/M2*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1/M1M2/M2d*",NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1/M1M2/NoLabel*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA
"M1M2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,8960,NA,7040,NA,NA,NA,3840,NA,NA
"M1M2*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,2304,NA,NA,NA,NA,NA,NA,NA,NA
"M1M2/M2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1M2/M2*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1M2/M2/M2d*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1M2/M2d*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,NA,NA,NA,NA,NA,NA
"M2",3616,3616,3712,3712,2304,5824,3712,3712,4032,2752,3712,3712,4096,3712,3712,4096,2128,8128,3712,4096,2816,6592,4032,3520,4608,2816,2752,2752,4096,5440,4096,3712,3808,3712,2752,2752,4288,NA,3904,3520,3904,3520,384,7040,3712,3712,3712,3712,2048,6656,2816,6592,3456,3328,3712,3712,2752,2752,3808,3712,4032,3712,4288,3520,3328,4096,3904,3520,384,7040,3904,3520,1952,1760,1952,1760,1536,2176,1024,2688,1408,2304,1664,2048,1408,2304,192,3520,1504,2208,1856,1856,2336,1376,1856,1856,1952,1760,3808,2752,3712,2752,3904,3520,4032,2752,3712,3712,3904,NA,2304,6464,3808,5824,2144,4992,3760,3712
