label,states,attractors
M2,1,3712
il6,1,3200
M1,1,7040
M2d,1,992
M2c,1,3168
M0,1,96
M2a,1,2112
M2c/M2c,2,864
M2d/M2d,2,96
M2/M2,2,960
M2a/M2a,2,576
M0/M0,2,32
M2/M2b,2,192
M2c/M2/M0,3,96
M2/M0/M0,3,72
M0/M2/M0,3,24
M2d/M2d/il6,3,192
M2d/M2c/il6,3,128
M2d/M2d/M1,3,288
M2d/M2/M1,3,328
M0/M0/M1,3,32
M2d/M0/M1,3,64
